userid,priv_user
145693,1
21583,1
246826,1
13668,1
62081,1
91742,1
67718,1
129270,1
4610,1
119824,1
691511,1
21150,1
175070,1
11992,1
867,1
510,1
55516,1
376,1
36813,1
14737,1
27911,1
166505,1
6122,1
257914,1
57489,1
1659,1
110746,1
4098,1
122768,1
131324,1
6802,1
7599,1
1134,1
4231,1
72353,1
8536,1
455,1
7783,1
73412,1
13,1
108041,1
5168,1
8518,1
110283,1
4143,1
4424,1
202706,1
32194,1
8571,1
6675,1
6965,1
3582,1
19567,1
4238,1
1726,1
50858,1
18548,1
20033,1
5480,1
4721,1
9184,1
3741,1
95311,1
11310,1
106,1
7135,1
17379,1
149089,1
61065,1
113374,1
3569,1
4477,1
17139,1
171544,1
21224,1
1465,1
87430,1
1407197,1
13044,1
59911,1
11655,1
17381,1
109224,1
1467,1
2140,1
84811,1
5282,1
7856,1
23445,1
18126,1
3204,1
285402,1
158393,1
18073,1
53518,1
3524,1
3820,1
4368,1
14002,1
1822,1
50541,1
52222,1
19470,1
128137,1
39,1
72278,1
166361,1
27480,1
135599,1
2229,1
54426,1
2937,1
10274,1
131143,1
725,1
85112,1
212185,1
4878,1
12915,1
4447,1
4094,1
28859,1
13165,1
22642,1
33648,1
30205,1
1657,1
119769,1
18880,1
628730,1
81638,1
18972,1
122742,1
260018,1
123194,1
8223,1
70533,1
3763,1
34239,1
52625,1
5337,1
123956,1
1226907,1
98539,1
11164,1
8898,1
39016,1
65618,1
89827,1
171835,1
5556,1
2429,1
215,1
5960,1
3294,1
18305,1
3223,1
3724,1
47190,1
284174,1
59531,1
5270,1
17815,1
71780,1
11606,1
7143,1
6253,1
12,1
6399,1
1,1
35542,1
72907,1
668522,1
155,1
2531,1
6919,1
148056,1
95569,1
39574,1
53779,1
4170,1
24,1
27886,1
25503,1
13234,1
96855,1
1106,1
4916,1
10750,1
26671,1
55321,1
4798,1
5068,1
12024,1
6714,1
44249,1
89008,1
4934,1
148151,1
6952,1
26145,1
158420,1
295468,1
7083,1
7356,1
88373,1
5138,1
19324,1
8060,1
93901,1
3961,1
71176,1
5869,1
7430,1
80064,1
124251,1
5089,1
26121,1
5942,1
13728,1
20423,1
2496,1
39869,1
131055,1
219976,1
30269,1
236,1
13134,1
14159,1
9101,1
3120,1
116550,1
3522,1
130603,1
19139,1
6048,1
7647,1
107790,1
2936,1
197855,1
3490,1
72043,1
4360,1
154645,1
66011,1
145920,1
150286,1
2451,1
4,1
7118,1
22569,1
48124,1
6239,1
53613,1
4369,1
122838,1
139155,1
209283,1
253575,1
4788,1
28325,1
1206,1
4457,1
159677,1
320,1
3216,1
187076,1